user_id,login_ip,action_time,month_year,action,doc_type,doc_id
12,49.45.132.3,"2018-01-05 13:45:09",01-2018,"Letter Attach To File",F,2100
98,49.45.132.3,"2018-01-05 13:45:57",01-2018,Almirah,F,268
103,49.45.132.3,"2018-01-05 13:46:44",01-2018,"Letter Attach To File",F,1319
60,115.187.63.117,"2018-01-05 13:46:46",01-2018,"File Dispatch",F,488
12,49.45.132.3,"2018-01-05 13:47:04",01-2018,"File Dispatch",F,2100
126,115.187.63.117,"2018-01-05 13:50:23",01-2018,"File Dispatch",F,1215
126,49.45.132.3,"2018-01-05 13:51:04",01-2018,"Log Out",U,126
63,49.45.132.3,"2018-01-05 13:51:51",01-2018,Login,U,63
100,49.45.132.3,"2018-01-05 13:52:05",01-2018,Login,U,100
99,49.45.132.3,"2018-01-05 13:52:20",01-2018,Login,U,99
103,49.45.132.3,"2018-01-05 13:53:06",01-2018,"Letter Attach To File",F,1319
100,49.45.132.3,"2018-01-05 13:54:50",01-2018,"File Receive",F,1215
99,49.45.132.3,"2018-01-05 13:57:14",01-2018,"File Creation",F,2116
120,49.45.132.3,"2018-01-05 13:57:37",01-2018,Login,U,120
100,49.45.132.3,"2018-01-05 13:58:08",01-2018,"File Dispatch",F,1215
63,115.187.63.117,"2018-01-05 13:58:21",01-2018,"Log Out",U,63
63,49.45.132.3,"2018-01-05 13:58:21",01-2018,"Log Out",U,63
100,49.45.132.3,"2018-01-05 13:58:49",01-2018,"Log Out",U,100
99,49.45.132.3,"2018-01-05 13:59:20",01-2018,Almirah,F,2116
120,49.45.132.3,"2018-01-05 13:59:42",01-2018,"File Receive",F,1573
64,49.45.132.3,"2018-01-05 14:00:28",01-2018,"File Receive",F,443
53,49.45.132.3,"2018-01-05 14:00:30",01-2018,Login,U,53
98,49.45.132.3,"2018-01-05 14:01:12",01-2018,"File Receive",F,858
60,117.223.219.18,"2018-01-05 14:01:59",01-2018,"File Receive",F,643
120,49.45.132.3,"2018-01-05 14:02:35",01-2018,"File Dispatch",F,1573
98,49.45.132.3,"2018-01-05 14:03:16",01-2018,Almirah,F,858
53,49.45.132.3,"2018-01-05 14:03:27",01-2018,"File Receive",F,1215
64,49.45.132.3,"2018-01-05 14:03:50",01-2018,"File Dispatch",F,443
60,117.223.219.18,"2018-01-05 14:04:04",01-2018,"File Dispatch",F,643
12,49.45.132.3,"2018-01-05 14:04:20",01-2018,"Letter Attach To File",F,2115
60,117.223.219.18,"2018-01-05 14:04:49",01-2018,"Log Out",U,60
120,49.45.132.3,"2018-01-05 14:06:00",01-2018,"File Receive",F,329
53,115.187.63.117,"2018-01-05 14:06:02",01-2018,"File Dispatch",F,1215
12,49.45.132.3,"2018-01-05 14:06:42",01-2018,"File Dispatch",F,2115
11,47.15.170.50,"2018-01-05 14:07:30",01-2018,Login,U,11
53,49.45.132.3,"2018-01-05 14:07:44",01-2018,"Log Out",U,53
71,115.187.63.117,"2018-01-05 14:08:59",01-2018,Login,U,71
71,49.45.132.3,"2018-01-05 14:11:04",01-2018,"File Receive",F,1215
120,115.187.63.117,"2018-01-05 14:11:46",01-2018,"File Dispatch",F,329
102,49.45.132.3,"2018-01-05 14:12:46",01-2018,Login,U,102
